epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
153;12,75;4,832;0,1068;-6,8516;-4,8008;;;;;;;;;;;;;;;
154;12,4766;4,668;0,103;-6,7891;-4,6875;;;;;;;;;;;;;;;
155;12,0938;4,2656;0,1067;-6,7617;-4,2148;;;;;;;;;;;;;;;
156;11,8438;4,1055;0,0957;-6,7773;-4,082;;;;;;;;;;;;;;;
157;11,8359;4,1016;0,1041;-6,6875;-4,1172;;;;;;;;;;;;;;;
158;11,9219;4,1719;0,1028;-6,7266;-4,1445;;;;;;;;;;;;;;;
159;12,1016;4,3164;0,1079;-6,6914;-4,3281;;;;;;;;;;;;;;;
160;11,6641;3,9316;0,1064;-6,668;-3,9609;;;;;;;;;;;;;;;
161;11,6484;3,9863;0,0988;-6,668;-4;;;;;;;;;;;;;;;
162;11,1641;3,4609;0,101;-6,6914;-3,4629;;;;;;;;;;;;;;;
163;11,2656;3,5332;0,1008;-6,7305;-3,5371;;;;;;;;;;;;;;;
164;11,1953;3,4023;0,0994;-6,8008;-3,4414;;;;;;;;;;;;;;;
165;11,4531;3,8418;0,0983;-6,625;-3,8711;;;;;;;;;;;;;;;
166;10,9297;3,2617;0,1017;-6,6641;-3,2266;;;;;;;;;;;;;;;
167;10,2188;2,6602;0,1016;-6,5391;-2,6855;;;;;;;;;;;;;;;
168;11,2266;3,5488;0,1059;-6,6172;-3,5234;;;;;;;;;;;;;;;
169;11,2656;3,7676;0,0935;-6,5664;-3,7559;;;;;;;;;;;;;;;
170;11,2578;3,6875;0,0968;-6,6211;-3,5508;;;;;;;;;;;;;;;
171;10,6953;3,0664;0,0978;-6,6406;-3,0703;;;;;;;;;;;;;;;
172;11,25;3,6875;0,1006;-6,5586;-3,7832;;;;;;;;;;;;;;;
173;10,0547;2,5703;0,1014;-6,4766;-2,5176;;;;;;;;;;;;;;;
174;10,3438;2,7715;0,1032;-6,5273;-2,7891;;;;;;;;;;;;;;;
175;10,4844;3,041;0,0972;-6,4609;-3,0234;;;;;;;;;;;;;;;
176;10,5781;3,0547;0,1052;-6,4805;-3,0391;;;;;;;;;;;;;;;
177;10,5234;3,1074;0,1026;-6,3906;-3,1602;;;;;;;;;;;;;;;
178;10,1953;2,6914;0,096;-6,5273;-2,668;;;;;;;;;;;;;;;
179;10,0469;2,6074;0,1023;-6,4219;-2,6934;;;;;;;;;;;;;;;
